user_id,group,username,Generosity,Learning,Attention,Emotion,Risk Tolerance,Decision Making,Effort,Fairness,Focus
59,1,Participant 59,0.636894938,0.274968922,0.283152028,-0.093048218,-0.670505456,-0.547196159,1.147849113,0.390025586,0.529738663
60,1,Participant 60,2.41704118,-0.220902798,-0.256124322,-0.016494664,-0.687674753,-0.727215116,-0.765155362,-1.574064838,0.131970637
61,1,Participant 61,2.280094026,-1.003724002,0.951361741,-0.249029885,-0.822069926,-0.666214673,-0.087320678,-0.235836072,0.150690182
62,1,Participant 62,0.641490575,-0.169726988,0.77922352,-0.076972606,-0.8927035,-0.713189901,-1.208088982,0.841775591,-0.936799095
63,1,Participant 63,0.432540768,-0.449955805,0.943946879,-0.886194148,-0.910234398,-0.072054091,-1.674744571,0.987428054,-0.183601938
64,0,Participant 64,-0.562932091,0.314756191,-0.400764172,-0.535183267,-1.060861877,-0.103829886,1.202382777,-1.284683621,-0.373429336
65,1,Participant 65,0.200782564,-0.676658727,0.625806157,-1.354624512,-1.107489763,-0.744908674,-1.334384707,0.163192509,0.149560948
66,1,Participant 66,0.376352178,-0.176344093,-1.17394559,-0.269664352,-1.182434239,-1.396549543,-1.975959845,0.838495972,0.005391055
67,0,Participant 67,0.194505723,1.647042835,0.140852567,-0.09307831,-1.193835177,0.356229572,0.3827809,0.123816034,-0.624369854
68,0,Participant 68,-0.21164395,1.628066346,-0.698460463,-0.16271832,-1.238392428,2.217701644,1.922031705,-0.250987141,-0.135566026
69,1,Participant 69,0.350648209,-0.414240867,0.682588612,0.200512147,-1.359851236,-0.5593702,-0.202538764,0.849383199,-0.680000111
70,2,Participant 70,1.744343158,-0.105999026,1.049750187,-0.440307383,-1.381987672,0.551910603,0.445487196,0.746437294,1.183042218
